"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUS","Australia","2000","2000",100,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUS","Australia","2001","2001",100,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUS","Australia","2002","2002",100,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUS","Australia","2003","2003",100,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUS","Australia","2004","2004",100,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUS","Australia","2005","2005",100,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUS","Australia","2006","2006",100,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUS","Australia","2007","2007",100,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUS","Australia","2008","2008",100,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUS","Australia","2009","2009",100,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUS","Australia","2010","2010",100,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUS","Australia","2011","2011",100,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUS","Australia","2012","2012",100,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUS","Australia","2013","2013",100,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUS","Australia","2014","2014",100,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUS","Australia","2015","2015",100,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUS","Australia","2016","2016",100,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUS","Australia","2017","2017",100,"E","Estimated value"
